TimeSeries Dataset,Model,Models,Novelty,Lr,hd_bites,Noise,Level Noise,MAE
SanFranciscoTraffic,KalmanHD,2,0.7,0.01,4,Gaussian,0.1,0.12865598390352032
SanFranciscoTraffic,KalmanHD,1,0.7,0.01,4,Gaussian,0.1,0.1293297513887896
SanFranciscoTraffic,KalmanHD,2,0.7,0.01,4,Gaussian,0.2,0.1317550035295995
SanFranciscoTraffic,KalmanHD,1,0.7,0.01,4,Gaussian,0.2,0.1350641906844322
SanFranciscoTraffic,KalmanHD,2,0.7,0.01,4,Gaussian,0.5,0.146895898930032
SanFranciscoTraffic,KalmanHD,1,0.7,0.01,4,Gaussian,0.5,0.14713119255650717
SanFranciscoTraffic,KalmanHD,2,0.7,0.01,4,Gaussian,1.0,0.2385962138763849
SanFranciscoTraffic,KalmanHD,1,0.7,0.01,4,Gaussian,1.0,0.21840460047896781
SanFranciscoTraffic,KalmanHD,2,0.7,0.01,4,Missing,0.1,0.13311727603864262
SanFranciscoTraffic,KalmanHD,1,0.7,0.01,4,Missing,0.1,0.1327942958278893
SanFranciscoTraffic,KalmanHD,2,0.7,0.01,4,Missing,0.2,0.13918513118279102
SanFranciscoTraffic,KalmanHD,1,0.7,0.01,4,Missing,0.2,0.1417809281593145
SanFranciscoTraffic,KalmanHD,2,0.7,0.01,4,Missing,0.4,0.1572199630512262
SanFranciscoTraffic,KalmanHD,1,0.7,0.01,4,Missing,0.4,0.15122214957833802
SanFranciscoTraffic,KalmanHD,2,0.7,0.01,4,Missing,0.5,0.1773126719730046
SanFranciscoTraffic,KalmanHD,1,0.7,0.01,4,Missing,0.5,0.15994960346833026
SanFranciscoTraffic,KalmanHD,4,0.2,0.01,4,Gaussian,0.1,0.13173002803190842
SanFranciscoTraffic,KalmanHD,4,0.4,0.01,4,Gaussian,0.1,0.13111786062784758
SanFranciscoTraffic,KalmanHD,4,0.6,0.01,4,Gaussian,0.1,0.14020806232898195
SanFranciscoTraffic,KalmanHD,4,0.8,0.01,4,Gaussian,0.1,0.12859681205365917
SanFranciscoTraffic,KalmanHD,8,0.2,0.01,4,Gaussian,0.1,0.13041802092925978
SanFranciscoTraffic,KalmanHD,8,0.4,0.01,4,Gaussian,0.1,0.47945359129889165
SanFranciscoTraffic,KalmanHD,8,0.6,0.01,4,Gaussian,0.1,0.17358836256984111
SanFranciscoTraffic,KalmanHD,8,0.8,0.01,4,Gaussian,0.1,0.1630773072448347
SanFranciscoTraffic,KalmanHD,4,0.2,0.01,4,Gaussian,0.2,0.14402279856240607
SanFranciscoTraffic,KalmanHD,4,0.4,0.01,4,Gaussian,0.2,0.14304099616726032
SanFranciscoTraffic,KalmanHD,4,0.6,0.01,4,Gaussian,0.2,0.13866141746828084
SanFranciscoTraffic,KalmanHD,4,0.8,0.01,4,Gaussian,0.2,0.1450669955558839
SanFranciscoTraffic,KalmanHD,8,0.2,0.01,4,Gaussian,0.2,0.17797688375101373
SanFranciscoTraffic,KalmanHD,8,0.4,0.01,4,Gaussian,0.2,0.1676127215257138
SanFranciscoTraffic,KalmanHD,2,0.7,0.01,2,Gaussian,0.0,0.12893297985934826
SanFranciscoTraffic,KalmanHD,1,0.7,0.01,2,Gaussian,0.0,0.13029550419641955
SanFranciscoTraffic,KalmanHD,4,0.6,0.01,2,Gaussian,0.0,0.13012274210406033
SanFranciscoTraffic,KalmanHD,4,0.75,0.01,2,Gaussian,0.0,0.1304538701463042
SanFranciscoTraffic,KalmanHD,4,0.725,0.01,2,Gaussian,0.0,0.13060026939036645
SanFranciscoTraffic,KalmanHD,2,0.3,0.01,4,Gaussian,0.0,0.12874680079368753
SanFranciscoTraffic,KalmanHD,2,0.3,0.01,4,Gaussian,0.0,0.6381509226240069
SanFranciscoTraffic,KalmanHD,2,0.3,0.01,4,Gaussian,0.0,0.6435013749156497
SanFranciscoTraffic,KalmanHD,4,0.1,0.01,4,Gaussian,0.0,0.27010209003758034
SanFranciscoTraffic,KalmanHD,4,0.2,0.01,4,Gaussian,0.0,0.2705203889005459
SanFranciscoTraffic,KalmanHD,1,0.2,0.01,4,Gaussian,0.0,0.6400065098855852
SanFranciscoTraffic,KalmanHD,1,0.2,0.01,4,Gaussian,0.0,0.5748959217494677
SanFranciscoTraffic,KalmanHD,1,0.2,0.01,4,Gaussian,0.0,0.5748959217494677
SanFranciscoTraffic,KalmanHD,1,0.2,0.01,4,Gaussian,0.0,0.5840854132545451
SanFranciscoTraffic,KalmanHD,1,0.2,0.01,4,Gaussian,0.0,0.270417274266598
SanFranciscoTraffic,KalmanHD,1,0.2,0.01,1,Gaussian,0.0,0.2631491910925027
SanFranciscoTraffic,KalmanHD,1,0.2,0.001,1,Gaussian,0.0,0.23942136356626792
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,Gaussian,0.0,0.38863712732113825
SanFranciscoTraffic,KalmanHD,8,0.2,0.01,1,Gaussian,0.0,0.6396005358386709
SanFranciscoTraffic,KalmanHD,8,0.2,0.01,1,Gaussian,0.0,0.24593637358668974
SanFranciscoTraffic,KalmanHD,8,0.2,1e-05,1,Gaussian,0.0,0.44099991463187943
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.1430833265834709
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.1553822037421964
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.16500887305005024
SanFranciscoTraffic,RegHD,8,0.2,1e-06,1,None,0.0,0.21537910038596875
SanFranciscoTraffic,RegHD,8,0.2,1e-05,1,None,0.0,0.16114970455249705
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.16500887305005024
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.1531591641505682
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.16100084953722088
GuangzhouTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.12405203852977023
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.15812031984303784
EnergyConsumptionFraunhofer,KalmanHD,8,0.2,0.001,1,None,0.0,0.2205314961089818
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.16003301908833753
SanFranciscoTraffic,KalmanHD,8,0.2,0.0001,1,None,0.0,0.20059371558302116
MetroInterstateTrafficVolume,KalmanHD,8,0.2,0.001,1,None,0.0,1.5140607973775827e+17
MetroInterstateTrafficVolume,KalmanHD,8,0.2,0.0001,1,None,0.0,9.553487424109575
MetroInterstateTrafficVolume,KalmanHD,8,0.2,1e-05,1,None,0.0,0.7555220169369623
ElectricityLoadDiagrams,KalmanHD,8,0.2,0.0001,1,None,0.0,0.14790824508181222
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.16003301908833753
TimeSeries Dataset,Model,Models,Novelty,Lr,hd_bites,Noise,Level Noise,MAE
SanFranciscoTraffic,KalmanHD,2,0.7,0.01,4,Gaussian,0.1,0.12865598390352032
SanFranciscoTraffic,KalmanHD,1,0.7,0.01,4,Gaussian,0.1,0.1293297513887896
SanFranciscoTraffic,KalmanHD,2,0.7,0.01,4,Gaussian,0.2,0.1317550035295995
SanFranciscoTraffic,KalmanHD,1,0.7,0.01,4,Gaussian,0.2,0.1350641906844322
SanFranciscoTraffic,KalmanHD,2,0.7,0.01,4,Gaussian,0.5,0.146895898930032
SanFranciscoTraffic,KalmanHD,1,0.7,0.01,4,Gaussian,0.5,0.14713119255650717
SanFranciscoTraffic,KalmanHD,2,0.7,0.01,4,Gaussian,1.0,0.2385962138763849
SanFranciscoTraffic,KalmanHD,1,0.7,0.01,4,Gaussian,1.0,0.21840460047896781
SanFranciscoTraffic,KalmanHD,2,0.7,0.01,4,Missing,0.1,0.13311727603864262
SanFranciscoTraffic,KalmanHD,1,0.7,0.01,4,Missing,0.1,0.1327942958278893
SanFranciscoTraffic,KalmanHD,2,0.7,0.01,4,Missing,0.2,0.13918513118279102
SanFranciscoTraffic,KalmanHD,1,0.7,0.01,4,Missing,0.2,0.1417809281593145
SanFranciscoTraffic,KalmanHD,2,0.7,0.01,4,Missing,0.4,0.1572199630512262
SanFranciscoTraffic,KalmanHD,1,0.7,0.01,4,Missing,0.4,0.15122214957833802
SanFranciscoTraffic,KalmanHD,2,0.7,0.01,4,Missing,0.5,0.1773126719730046
SanFranciscoTraffic,KalmanHD,1,0.7,0.01,4,Missing,0.5,0.15994960346833026
SanFranciscoTraffic,KalmanHD,4,0.2,0.01,4,Gaussian,0.1,0.13173002803190842
SanFranciscoTraffic,KalmanHD,4,0.4,0.01,4,Gaussian,0.1,0.13111786062784758
SanFranciscoTraffic,KalmanHD,4,0.6,0.01,4,Gaussian,0.1,0.14020806232898195
SanFranciscoTraffic,KalmanHD,4,0.8,0.01,4,Gaussian,0.1,0.12859681205365917
SanFranciscoTraffic,KalmanHD,8,0.2,0.01,4,Gaussian,0.1,0.13041802092925978
SanFranciscoTraffic,KalmanHD,8,0.4,0.01,4,Gaussian,0.1,0.47945359129889165
SanFranciscoTraffic,KalmanHD,8,0.6,0.01,4,Gaussian,0.1,0.17358836256984111
SanFranciscoTraffic,KalmanHD,8,0.8,0.01,4,Gaussian,0.1,0.1630773072448347
SanFranciscoTraffic,KalmanHD,4,0.2,0.01,4,Gaussian,0.2,0.14402279856240607
SanFranciscoTraffic,KalmanHD,4,0.4,0.01,4,Gaussian,0.2,0.14304099616726032
SanFranciscoTraffic,KalmanHD,4,0.6,0.01,4,Gaussian,0.2,0.13866141746828084
SanFranciscoTraffic,KalmanHD,4,0.8,0.01,4,Gaussian,0.2,0.1450669955558839
SanFranciscoTraffic,KalmanHD,8,0.2,0.01,4,Gaussian,0.2,0.17797688375101373
SanFranciscoTraffic,KalmanHD,8,0.4,0.01,4,Gaussian,0.2,0.1676127215257138
SanFranciscoTraffic,KalmanHD,2,0.7,0.01,2,Gaussian,0.0,0.12893297985934826
SanFranciscoTraffic,KalmanHD,1,0.7,0.01,2,Gaussian,0.0,0.13029550419641955
SanFranciscoTraffic,KalmanHD,4,0.6,0.01,2,Gaussian,0.0,0.13012274210406033
SanFranciscoTraffic,KalmanHD,4,0.75,0.01,2,Gaussian,0.0,0.1304538701463042
SanFranciscoTraffic,KalmanHD,4,0.725,0.01,2,Gaussian,0.0,0.13060026939036645
SanFranciscoTraffic,KalmanHD,2,0.3,0.01,4,Gaussian,0.0,0.12874680079368753
SanFranciscoTraffic,KalmanHD,2,0.3,0.01,4,Gaussian,0.0,0.6381509226240069
SanFranciscoTraffic,KalmanHD,2,0.3,0.01,4,Gaussian,0.0,0.6435013749156497
SanFranciscoTraffic,KalmanHD,4,0.1,0.01,4,Gaussian,0.0,0.27010209003758034
SanFranciscoTraffic,KalmanHD,4,0.2,0.01,4,Gaussian,0.0,0.2705203889005459
SanFranciscoTraffic,KalmanHD,1,0.2,0.01,4,Gaussian,0.0,0.6400065098855852
SanFranciscoTraffic,KalmanHD,1,0.2,0.01,4,Gaussian,0.0,0.5748959217494677
SanFranciscoTraffic,KalmanHD,1,0.2,0.01,4,Gaussian,0.0,0.5748959217494677
SanFranciscoTraffic,KalmanHD,1,0.2,0.01,4,Gaussian,0.0,0.5840854132545451
SanFranciscoTraffic,KalmanHD,1,0.2,0.01,4,Gaussian,0.0,0.270417274266598
SanFranciscoTraffic,KalmanHD,1,0.2,0.01,1,Gaussian,0.0,0.2631491910925027
SanFranciscoTraffic,KalmanHD,1,0.2,0.001,1,Gaussian,0.0,0.23942136356626792
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,Gaussian,0.0,0.38863712732113825
SanFranciscoTraffic,KalmanHD,8,0.2,0.01,1,Gaussian,0.0,0.6396005358386709
SanFranciscoTraffic,KalmanHD,8,0.2,0.01,1,Gaussian,0.0,0.24593637358668974
SanFranciscoTraffic,KalmanHD,8,0.2,1e-05,1,Gaussian,0.0,0.44099991463187943
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.1430833265834709
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.1553822037421964
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.16500887305005024
SanFranciscoTraffic,RegHD,8,0.2,1e-06,1,None,0.0,0.21537910038596875
SanFranciscoTraffic,RegHD,8,0.2,1e-05,1,None,0.0,0.16114970455249705
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.16500887305005024
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.1531591641505682
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.16100084953722088
GuangzhouTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.12405203852977023
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.15812031984303784
EnergyConsumptionFraunhofer,KalmanHD,8,0.2,0.001,1,None,0.0,0.2205314961089818
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.16003301908833753
SanFranciscoTraffic,KalmanHD,8,0.2,0.0001,1,None,0.0,0.20059371558302116
MetroInterstateTrafficVolume,KalmanHD,8,0.2,0.001,1,None,0.0,1.5140607973775827e+17
MetroInterstateTrafficVolume,KalmanHD,8,0.2,0.0001,1,None,0.0,9.553487424109575
MetroInterstateTrafficVolume,KalmanHD,8,0.2,1e-05,1,None,0.0,0.7555220169369623
ElectricityLoadDiagrams,KalmanHD,8,0.2,0.0001,1,None,0.0,0.14790824508181222
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.16003301908833753
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.21806620321206083
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.19810219689783368
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.18070351497544093
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.16950501622999728
